Data,Curs,Nom,Castells,CCCC,observacions
26/05/2022,2021-2022,Diada primavera Grillats,,,
12/5/2022,2021-2022,Diada primavera Marracos,2pd4 4d6 3d6 pd4,,
12/5/2022,2021-2022,Diada primavera Xoriguers,2pd4 3d6a 5d6 3d6 2pd4,,
5/5/2022,2021-2022,Diada primavera Arreplegats,,,
28/04/2022,2021-2022,Diada cultural,pd4 2pd3 2d5 3d5 pd4 3d5conjunt,,
7/4/2022,2021-2022,Colles de l'eix Vic,2pd3 2d5 3d6c 4d5conjunt,,
24/3/3022,2021-2022,Aniverfest,2pd4 3d6 5d6 4d6 2pd4,,
8/3/2022,2021-2022,Diada 8M,pd4,,
23/12/2021,2021-2022,Diada hivern Penjats,,,
16/12/2021,2021-2022,Diada hivern Xoriguers,pd4 3d6 2d6 4d6 2pd4,,
25/11/2021,2021-2022,Diada hivern Bergants,pd4,,
18/11/2021,2021-2022,Diada hivern Emboirats,pd4 3d6 pd4,,
,2021-2022,Actuació RESA,2pd4 2d5 3d6 4d5 pd4,,
,2020-2021,COVID,,,
,2019-2020,COVID,,,
,2019-2020,,,,
30/05/2019,2018-2019,Diada primavera Penjats,,,
23/05/2019,2018-2019,Diada primavera Pataquers,,,
16/05/2019,2018-2019,Diada primavera Marracos,pd4 3d6ps 5d6 4d6a 2pd4,,
09/05/2019,2018-2019,Diada primavera Xoriguers,2pd4 3d6ps id4d7 i4d7 7d6 2pd4,,
04/04/2019,2018-2019,Aniverfest del XXI,pd4 5d6 4d7 7d6 2pd4,,
15/12/2018,2018-2019,Diada hivern Bergants,pd4 3d6 3d6a 4d6 2pd4,,
29/11/2018,2018-2019,Diada hivern Xoriguers,pd4 4d7 5d6 7d6,,
22/11/2018,2018-2019,Diada hivern Pataquers,3d6 id4d6 4d6,,
15/11/2018,2018-2019,Diada hivern Emboirats,pd4 7d6 5d6 4d6 2pd4,,
31/10/2018,2018-2019,Diada Barraques,pd4 4d6 4d6a 5d6 pd4,,
24/05/2018,2017-2018,Diada primavera Trempats,,,
17/05/2018,2017-2018,Diada primavera Xoriguers,5d6 4d7 7d6 pd4s,,
10/05/2018,2017-2018,Diada primavera Arreplegats,5d6 3d6a 4d7 pd4,,
26/04/2018,2017-2018,Diada primavera Pataquers,pd4 3d6 4d6a 4d6 pd4,,
15/03/2018,2017-2018,Aniverfest del XX,7d6 5d6 4d6a 3d6 2pd4,,
18/05/2017,2016-2017,Diada primavera Xoriguers,3d7 2d7f 4d7,,
11/05/2017,2016-2017,Diada primavera Ganàpies,2d7f 4d7 3d7 2pd4,,
06/04/2017,2016-2017,Aniverfest del XIX,3d7 4d7 7d6 3pd4,,
30/03/2017,2016-2017,Festa Major UVic,5d6 4d6a 4d6 2dp4,,
04/03/2017,2016-2017,Diada viatge Madrid,pd4,,
24/11/2016,2016-2017,Diada hivern Xoriguers,4d7,,
17/11/2016,2016-2017,Diada hivern Pataquers,5d6,,
03/11/2016,2016-2017,Actuació Barraques,5d6 7d6 4d6a 3pd4,,
22/09/2016,2016-2017,Actuació RESA,3d6a 3d6,,
19/05/2016,2015-2016,Diada primavera Xoriguers,4d7 5d6 pd6fc 3pd4,,
12/5/2016,2015-2016,Diada primavera Marracos,pd4 5d6 4d6,,
22/04/2016,2015-2016,Festa Major UdG,pd4,,
17/03/2016,2015-2016,Aniverfest del XVIII,2d6 id4d7,,
11/3/2016,2015-2016,Actuació viatge Cadis,3d6,,
,2015-2016,,,,
,2013-2014,,,,
,2013-2014,,,,
,2013-2014,,,,
,2013-2014,,,,
,2013-2014,,,,
12/19/2013,2013-2014,Diada hivern Arreplegats,4d7 3d6ps 3d7 p5,,millor actuacio fora de casa
12/12/2013,2013-2014,Diada hivern Xoriguers,4d7 3d7 7d6 van5,,"primer 7d6, millor actuacio hivern"
12/5/2013,2013-2014,Diada hivern Pataquers,4d6 3d6 3d6a p5,,
11/28/2013,2013-2014,Diada hivern Passarells,p4 4d7 5d6 3d6a p5,,
10/28/2013,2013-2014,Actuació barrakes,icp4cam 4d6 5d6 3d6 p4,,
10/3/2013,2013-2014,Actuació RESA,,,
5/23/2013,2012-2013,Diada primavera Ganàpies,,,
5/16/2013,2012-2013,Diada primavera Xoriguers,"4d7, 2d7f, id4d7a, i4d7a, p5",,
5/3/2013,2012-2013,Diada primavera Arreplegats,,,
4/25/2013,2012-2013,Diada primavera Marracos,,,
3/21/2013,2012-2013,Diada 15è aniversari Xoriguers,,,
3/15/2013,2012-2013,Pilar per l'ANC,p4,,
3/9/2013,2012-2013,Viatge: Actuació Albi,,,
3/8/2013,2012-2013,Viatge: Actuació Toulosse,,,
3/7/2013,2012-2013,Viatge: Actuació Carcassone,,,
12/20/2012,2012-2013,Diada hivern Passarells,,,
12/13/2012,2012-2013,Diada hivern Xoriguers,"4d7, id4d7a, 4d7a(c), 5d6 i 4pd4",,
12/1/2012,2012-2013,Actuació Eix comercial Girona,,,
11/29/2012,2012-2013,Diada hivern Pataquers,"pd4, 3d6, 4d6, 5d5net i pd4",,
11/22/2012,2012-2013,Diada hivern Emboirats,"pd4, id5d6, 5d6, 4d7, 3d6ps i pd5",,
10/31/2012,2012-2013,Actuació fires de Girona,"pd4cam, 5d6, 3d6ps, 4d6a i pd5(c)",,
10/5/2012,2012-2013,"Inauguració ""llagurt""",p4,,
10/4/2012,2012-2013,Actuació RESA,"pd4, 4d5n, 3d6, 5d5n i pd4",,
5/17/2012,2011-2012,Diada primavera Xoriguers,"4d7, 4d7a(c), 3d7 i 5·p4",,
5/10/2012,2011-2012,Diada primavera Ganàpies,"5d6, 2d6, 4d6a i pd4",,
5/3/2012,2011-2012,Diada primavera Arreplegats,"pd4, id4d7, 4d7, 3d7c, 5d6 i pd4",,
4/27/2012,2011-2012,Actuació festa major UdG,"p4, 4d5n, 2d5, 3d5n i pd4",,
4/26/2012,2011-2012,Diada primavera Marracos,"5d6, 4d6a, 4d6 i pd4",,
4/19/2012,2011-2012,Diada primavera Pataquers,"3d6a, 4d6, 3d6 i pd4",,
3/10/2012,2011-2012,Viatge: actuació Hondarribia,"4d5n, 4d5na, 3d6, 5d5n, 2d5, pd4ps i 2pd4",,
3/8/2012,2011-2012,Viatge: actuació UPV-EHU,"4d5n, 3d6, 4d5na, 2d5 i pd4",,
2/12/2012,2011-2012,Actuació ANC,"p4, 2d5 i p4",,
12/22/2011,2011-2012,Diada hivern Passarells,"2pd4, 3d6, 3d6a, 4d6 i p4",,
12/15/2011,2011-2012,Diada hivern Emboirats,"pd4 id3d7, id3d7, id4d7, 5d6, 4d7c i pd4",,
12/12/2011,2011-2012,Celebració 20è aniversari UdG,"p4, 3d5n, 2d5, 4d5a net i p4",,
12/1/2011,2011-2012,Diada hivern Xoriguers,"4d7, 3d7c, 5d6 i 4·p4",yes,
11/24/2011,2011-2012,Diada hivern Ganàpies,"p4, 5d6, 4d7, 2d6 i p5",yes,
10/31/2011,2011-2012,Actuació fires de Girona,"p4cam, 5d6, 2d6c i 4d6a",,
10/20/2011,2011-2012,Actuació rectorat,"pd4, 2d5, 4d5net i p4",,
10/13/2011,2011-2012,Actuació RESA,"p4, 4d5a net, 3d6, 2d5 i p4",,
5/12/2011,2010-2011,Diada primavera Xoriguers,"4d7, i3d7, 5d6, 4d6a i pd5(c)",,
,2010-2011,,,,
,2010-2011,,,,
,2010-2011,,,,
5/20/2010,2009-2010,Sopar final de temporada,,,
5/20/2010,2009-2010,Diada Ganàpies,,,
5/13/2010,2009-2010,Diada Xoriguers,3/6 5/6 4/6a 2·p4,,
5/10/2010,2009-2010,Actuació a les Àligues,4/5 net 3/5 net 4/5a net 2·p3,,
5/7/2010,2009-2010,Diada Arreplegats,3/5 net 2/5 4/5 net p4,,
4/29/2010,2009-2010,Diada Pataquers,4/5 net aco 3/5 net aco 7/4 net 2·p4,,
4/23/2010,2009-2010,Actuació festa major UdG,3/5 4/5 4/5ac p4,,
4/22/2010,2009-2010,Diada Marracos,3/5 4/5 4/5a aco,,
4/20/2010,2009-2010,Actuació a Mas Marroch,p3 cam 4/5 net aco 3/5 net aco 2·p3,,
3/18/2010,2009-2010,Aniversari 15 anys Ganàpies,3/5 net aco 4/5 net aco p4 4d6a germanor,,
2/5/2010,2009-2010,Actuació inauguració FEP al barri vell,,,
12/17/2009,2009-2010,Diada hivern Arreplegats,3/5net aco 4/5net 2/5 p4,,
12/10/2009,2009-2010,Diada hivern Ganàpies,p4 3/5net 2/5 4/5net p4,,
12/3/2009,2009-2010,Diada hivern Xoriguers,p4 3/6 4/6a 5/6 2·p4,,
11/26/2009,2009-2010,Diada hivern Marracos,3/6 4/5net 2/5 p4,,
11/19/2009,2009-2010,Diada hivern Pataquers,3/5net 2/5 4/5net p4,,
10/30/2009,2009-2010,Actuació al punt de trobada,"4/5a net, i3/6, 2/5, p4c",,
10/22/2009,2009-2010,Actuació Facultat Magisteri,3/5 net 2/5 4/5a net p4,,
10/19/2009,2009-2010,Inauguració exposició de fotos,p3,,
10/15/2009,2009-2010,Actuació a la RESA,3/5 net 2/5 4/5a net p4,,
5/21/2009,2008-2009,Diada de primavera Ganapies,"2/5, 3/5 net, 4/5 net, 2·p3",,
5/14/2009,2008-2009,Diada de primavera Xoriguers,"4/6, 3/6, 4/6a, 2·p4",,
5/8/2009,2008-2009,Diada de primavera Arreplegats,"4/5 net, 3/6c, 2/5, p4",,
12/18/2008,2008-2009,Diada hivern Arreplegats,,,
12/11/2008,2008-2009,Diada hivern Ganàpies,,,
12/4/2008,2008-2009,Diada hivern Xoriguers,,,
12/20/2007,2007-2008,Diada hivern Arreplegats,,,
12/13/2007,2007-2008,Diada hivern Xoriguers,,,
11/29/2007,2007-2008,Diada hivern Ganàpies,,,
11/22/2007,2007-2008,Diada hivern Marracos,,,
11/15/2007,2007-2008,Actuació a la RESA,,,
11/2/2007,2007-2008,Actuació de Fires a la Rambla de Girona,"p/4, t/5, 3/6, 4/5 net, p/4ps",,
10/31/2007,2007-2008,Actuació al Certàmen de Fires de Girona,,,
10/22/2007,2007-2008,"Inauguració exposició: “10 anys fent castells, 10 anys fent blau”",p4,,
5/13/2007,2006-2007,Diada de primavera. Pl. Apòstols (Girona),"2 p/4ps, 3/7, 4/6ag, 2/6, p/5",,primer 3d7
5/10/2007,2006-2007,Diada de primavera Ganàpies,"3/6, 2/5, 4/5ag net, p/4",,
5/5/2007,2006-2007,París (final rugbi),"3/6 aco, 2/5, vano de 4",,
5/4/2007,2006-2007,París,"4/5 net, 2/5, 3/5n, p/4",,
